Model,Scenario,Policy_category,Policy_category_name
IMAGE 3.0.2,EMF33_tax_hi_full,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,P2,P2: Immediate global action
POLES EMF33,EMF33_tax_hi_full,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_tax_hi_none,P2,P2: Immediate global action
BET EMF33,EMF33_tax_hi_none,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_tax_hi_none,P2,P2: Immediate global action
FARM 3.2,EMF33_tax_hi_none,P2,P2: Immediate global action
GCAM 4.2,EMF33_tax_hi_none,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_tax_hi_none,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_tax_hi_none,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_tax_hi_none,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,P2,P2: Immediate global action
POLES EMF33,EMF33_tax_hi_none,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_tax_lo_full,P2,P2: Immediate global action
BET EMF33,EMF33_tax_lo_full,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_tax_lo_full,P2,P2: Immediate global action
FARM 3.2,EMF33_tax_lo_full,P2,P2: Immediate global action
GCAM 4.2,EMF33_tax_lo_full,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_tax_lo_full,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_tax_lo_full,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_tax_lo_full,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_full,P2,P2: Immediate global action
POLES EMF33,EMF33_tax_lo_full,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full,P2,P2: Immediate global action
AIM/CGE 2.1,EMF33_tax_lo_none,P2,P2: Immediate global action
BET EMF33,EMF33_tax_lo_none,P2,P2: Immediate global action
DNE21+ V.14E2,EMF33_tax_lo_none,P2,P2: Immediate global action
FARM 3.2,EMF33_tax_lo_none,P2,P2: Immediate global action
GCAM 4.2,EMF33_tax_lo_none,P2,P2: Immediate global action
GRAPE-15 1.0,EMF33_tax_lo_none,P2,P2: Immediate global action
IMACLIM-NLU 1.0,EMF33_tax_lo_none,P2,P2: Immediate global action
IMAGE 3.0.2,EMF33_tax_lo_none,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,EMF33_tax_lo_none,P2,P2: Immediate global action
POLES EMF33,EMF33_tax_lo_none,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none,P2,P2: Immediate global action
MIGRATION 1.0,ENERGY_SSP1-1.9_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,ENERGY_SSP2-4.5_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,ENERGY_SSP3-7.0_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,ENERGY_SSP4-6.0_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,ENERGY_SSP5-8.5_zeromig,P0,P0: Diagnostic
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_1200,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_1400,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_1600,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_1800,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_2000,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_2500,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDC2030i_3000,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
GEM-E3_092019,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1000,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
GEM-E3_092019,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1000f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1200,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1200f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1400,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1400f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1600,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1600f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1600f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1600f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1600f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1600f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1800,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_1800f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_1800f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_1800f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_1800f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_1800f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_2000,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_2000,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_2000,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_2000,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_2000,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_2000f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_2000f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_2000f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_2000f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_2500,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_2500,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_2500,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_2500,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_2500,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_2500f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_2500f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_2500f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_2500f,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_3000,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_3000,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_3000,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_3000,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_3000,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_3000f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_3000f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_3000f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_3000f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_300f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_300f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_400f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_400f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_400f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_500,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_500f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_600,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_600f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_700,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_700,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_700f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_800,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_800,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_800,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_800,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
IMAGE 3.0,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_800f,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_900,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
COFFEE 1.1,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
MESSAGEix-GLOBIOM_1.0,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
POLES ENGAGE,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
TIAM-ECN 1.1,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
WITCH 5.0,EN_INDCi2030_900f,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 2.0-4.1,EN_INDCi2030_900r,P3b,P3b: NDC + Delayed global action
AIM/CGE 2.2,EN_INDCi2100,P1c,P1c: NDC
COFFEE 1.1,EN_INDCi2100,P1c,P1c: NDC
GEM-E3_092019,EN_INDCi2100,P1c,P1c: NDC
IMAGE 3.0,EN_INDCi2100,P1c,P1c: NDC
MESSAGEix-GLOBIOM_1.0,EN_INDCi2100,P1c,P1c: NDC
POLES ENGAGE,EN_INDCi2100,P1c,P1c: NDC
REMIND-MAgPIE 2.0-4.1,EN_INDCi2100,P1c,P1c: NDC
TIAM-ECN 1.1,EN_INDCi2100,P1c,P1c: NDC
WITCH 5.0,EN_INDCi2100,P1c,P1c: NDC
AIM/CGE 2.2,EN_NPi2020_1000,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1000,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1000,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1000,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1000,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1000,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1000,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1000,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1000,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1000f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1000f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1000f,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1000f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1000f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1000f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1000f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1000f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1000f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1200,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1200,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1200,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1200,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1200,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1200,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1200,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1200,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1200f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1200f,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1200f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1200f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1200f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1200f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1200f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1200f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1400,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1400,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1400,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1400,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1400,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1400,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1400,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1400,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1400,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1400f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1400f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1400f,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_1400f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1400f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1400f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1400f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1400f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1400f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1600,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1600,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1600,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1600,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1600,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1600,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1600,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1600f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1600f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1600f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1600f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1600f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_1600f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_1600f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1800,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1800,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1800,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1800,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1800,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1800,P2a,P2: Immediate global action without trade
WITCH 5.0,EN_NPi2020_1800,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_1800f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_1800f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_1800f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_1800f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_1800f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_1800f,P2a,P2: Immediate global action without trade
WITCH 5.0,EN_NPi2020_1800f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_2000,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_2000,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_2000,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_2000,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_2000,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_2000,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_2000f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_2000f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_2000f,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_2000f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_2000f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_200f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_2500,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_2500,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_2500,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_2500,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_2500,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_2500,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_2500f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_2500f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_2500f,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_2500f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_2500f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_300,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_300,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_3000,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_3000,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_3000,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_3000,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_3000,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_3000,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_3000f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_3000f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_3000f,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_3000f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_3000f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_300f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_300f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_300f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_300f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_300f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_300f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_300f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_400,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_400,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_400,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_400f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_400f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_400f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_400f,P2,P2: Immediate global action
